8,8,8,8,8,8,7,6
15,8,8,8,8,8,8,8,8,6
14,9,8,8,8,8,8,8,8,6
27,18,10,8,8,8,8,8,8,8
27,17,9,9,8,8,8,8,8,8
27,16,10,8,8,8,8,8,8,8
29,10,10,8,8,8,8,8,8,8
20,15,9,8,8,8,8,8,8,8
26,13,9,7,7,8,8,8,8,8
24,11,9,7,8,8,8,8,8,8
27,9,8,9,8,8,8,8,8,8
27,19,11,8,8,8,8,8,8,5
26,16,9,8,8,8,8,8,8,8
27,12,11,8,8,8,8,8,8,8
28,11,8,8,8,8,8,8,8,8
27,9,10,8,8,8,8,8,8,8
21,15,10,8,8,8,8,8,8,8
26,10,8,8,8,8,8,8,8,8
24,17,9,9,8,8,8,8,8,8
24,11,11,9,8,8,8,8,8,8
28,18,16,8,8,8,8,8,8,8
27,16,9,9,9,8,8,8,8,8
27,11,9,8,8,8,8,5,5,8
21,13,8,9,8,8,8,8,8,8
22,16,9,5,8,8,8,8,8,8
21,9,9,8,8,8,8,8,8,8
15,14,10,7,8,8,8,8,8,8
28,17,10,8,8,8,8,8,8,8
28,20,9,8,5,8,8,8,8,8
25,16,15,7,8,8,8,8,8,8
27,16,9,7,8,8,8,8,8,8
28,12,10,8,8,8,8,8,8,8
18,16,8,9,9,8,8,8,8,8
22,10,10,8,8,8,8,8,8,8
16,10,8,8,8,8,8,8,8,8
27,12,10,8,8,8,8,8,8,8
29,17,8,8,8,8,8,8,8,8
23,14,10,8,8,8,8,8,8,8
25,19,9,7,8,8,8,8,8,8
26,10,11,9,8,8,8,8,8,8
27,9,9,7,8,8,8,8,8,8
27,9,9,9,8,8,8,8,8,8
21,11,9,9,8,8,8,8,8,8
28,19,9,8,8,8,8,8,8,8
27,16,9,8,8,8,8,8,8,8
28,15,10,8,8,8,8,8,8,8
29,16,11,5,8,8,8,8,8,8
26,16,16,5,8,8,8,8,8,8
27,18,11,9,8,8,8,8,8,8
27,11,11,9,8,8,8,8,8,8
25,19,8,8,8,8,8,8,8,8
28,11,10,9,9,8,8,8,8,8
27,16,10,8,8,8,8,8,8,8
31,20,19,9,8,8,8,8,8,8
31,14,10,11,9,9,8,8,8,8
27,20,18,16,9,8,8,8,8,8
31,20,18,9,10,9,5,8,8,8
31,20,16,10,9,8,8,8,8,8
32,19,16,16,8,9,8,8,8,8
30,18,11,9,9,5,8,8,8,8
29,18,16,9,7,9,5,8,8,8
28,20,18,8,8,7,8,8,8,8
33,20,18,16,14,8,5,5,8,8
33,20,16,10,10,8,9,8,8,8
31,20,13,10,9,8,8,8,8,8
29,20,16,9,10,9,8,8,8,8
34,16,11,10,7,8,8,8,8,8
30,18,11,10,10,8,8,8,8,8
24,20,11,11,9,9,8,8,8,8
28,16,11,16,8,9,8,8,8,8
29,20,19,16,10,8,8,8,8,8
32,21,9,9,8,7,5,8,8,8
31,14,16,10,10,9,8,8,8,8
30,21,19,16,7,9,9,8,8,8
29,21,12,10,9,9,8,8,8,8
31,20,17,17,9,8,8,8,8,8
30,18,10,11,10,9,8,8,8,8
34,21,14,10,9,8,8,8,8,8
29,14,16,11,9,8,8,8,8,8
31,18,16,9,7,7,8,8,8,8
29,12,16,9,8,8,8,8,8,8
32,18,16,11,9,8,8,8,8,8
29,18,16,9,9,7,9,5,8,8
32,19,16,16,15,5,8,8,8,8
30,18,16,10,9,8,8,8,8,8
29,14,11,10,9,8,8,8,8,8
32,20,9,10,8,7,8,8,8,8
30,18,10,16,8,8,8,8,8,8
34,20,10,10,8,8,8,8,8,8
29,20,16,10,10,8,8,8,8,8
31,19,11,11,15,8,8,8,8,8
32,18,10,11,10,9,5,8,8,8
27,20,9,10,8,7,8,8,8,8
30,20,16,9,9,9,5,5,8,8
24,20,19,9,9,9,8,8,8,8
30,18,18,11,10,9,8,8,8,8
31,18,16,10,9,8,8,8,8,8
32,20,13,10,8,8,8,8,8,8
31,20,9,9,8,9,8,8,8,8
31,18,16,11,8,9,9,8,8,8
32,21,16,9,8,9,8,8,8,8
28,21,10,9,8,8,8,8,8,8
29,20,9,16,9,9,5,8,8,8
